LATIN;HUN
abdomen;has 
abductio;távolítás 
adductio;közelítés 
ala;szárny 
alveolus;kicsi üreg, fogmeder 
angulus;szöglet 
ante;(praep.) előtt 
antebrachium;alkar 
anterior;elülső 
apertura;nyílás 
apex;csúcs 
arcus;ív 
area;tér, terület 
articulatio;ízület 
asper;érdes 
auris;fül 
axilla;hónalj 
axillaris;hónaljhoz tartozó 
basis;alap, fenék 
biceps;kétfejű 
brachium;kar, felkar 
brevis;rövid 
bulla;hólyag 
bursa;tömlő, tasak 
canalis;csatorna 
capsula;tok 
caput;fej 
carpus;kéztő 
cartilago;porc 
cauda;farok 
caudalis;farki, test alsó vége felé eső 
cavitas;kis üreg 
cavum;üreg 
cerebellum;kisagy 
cerebrum;nagyagy 
cervix;nyak 
circum;körül 
circumferentia;kerület 
cochlea;csiga 
colliculus;kis domb 
collum;nyak 
communis;közös 
concha;kagyló 
condylus;ízületi felszínt hordozó csontdudor 
conoideus;kúp alakú 
coracoideus;hollócsőr-szerű 
corpus;test 
cortex;réteg 
costa;borda 
coxa;csípő 
cranialis;koponyabeli, koponya felé eső 
cranium;koponya 
cribrosus;rostaszerű 
crista;taraj, léc 
crus;lábszár, szár 
cubitus;könyök 
cuboideus;köbös, kocka alakú 
cuneiformis;ék alakú 
cuneus;ék 
dens;fog 
dexter;jobboldali 
diameter;átmérő 
diaphragma;rekesz, válaszfal 
diaphysis;csöves csontok középdarabja 
digitalis;ujjhoz tartozó 
digitus;ujj 
discus;korong 
distalis;távolabbi 
dorsalis;háti, háthoz tartozó 
dorsum;hát 
eminentia;kiemelkedés 
emissarium;levezető csatorna 
epicondylus;nyúlvány a condylus felett 
ethmoidalis;rostaszerű 
extensio;feszítés 
externus;külső 
extremitas;legkülső vég 
facies;felszín, arc 
falciformis;sarló alakú 
falx;sarló 
fascia;izompólya, kötőszöveti lemez 
fenestra;ablak 
fissura;hasadék, rés 
flexio;hajlítás 
foramen;lyuk 
fossa;árok, gödör 
fovea;gödör 
frontalis;homlokhoz tartozó 
genu;térd 
hamulus;kis kampó 
hernia;sérv 
hiatus;nyílás 
horizontalis;horizontális, vízszintes 
impressio;benyomat 
incisura;bemetszés 
inferior;alsó, lejjebb fekvő 
infra;valami alatti 
infundibulum;tölcsér 
inguinalis;lágyékhoz tartozó 
inter;között 
internus;belső 
labium;ajak 
lamina;lemez 
lateralis;oldalsó 
lens;lencse 
lentiformis;lencse alakú 
ligamentum;szalag 
limbus;szegély, szél 
linea;vonal 
lingua;nyelv 
longitudinalis;hosszanti 
longus;hosszú 
lumbalis;ágyéki 
lunatus;hold alakú 
magnus;nagy 
major;nagyobb 
malleolaris;bokához tartozó 
malleolus;boka 
manubrium;markolat 
manus;kéz 
margo;szél 
maximus;legnagyobb 
meatus;járat 
medialis;a test középvonalához 
közelebb;fekvő 
medianus;középvonalban fekvő 
medius;középső 
meniscus;félhold alakú ízületi porc 
mentum;áll 
metacarpus;kézközép 
metatarsus;lábközép 
minor;kisebb 
musculus;izom 
nasalis;orrhoz tartozó 
nasus;orr 
navicularis;sajkaszerű, csónakszerű 
nervus;ideg 
nutricius;tápláló 
obliquus;ferde 
obturatorius;fedőhöz tartozó 
occipitalis;nyakszirthez tartozó 
occiput;nyakszirt 
olfactorius;szagláshoz tartozó 
opponens;szembeállító 
opticus;látáshoz tartozó 
orbicularis;kör alakú, körkörös 
orbita;szemüreg 
orificium;nyílás, szájadék 
os,;oris száj 
os,;ossis csont 
ostium;szájadék, nyílás 
ovalis;ovális, tojásdad 
palatinus;szájpadhoz tartozó 
palatum;szájpad 
palmaris;tenyéri 
paries;fal 
parietalis;fali 
pars;rész 
parvus;kicsi 
pecten;fésű, taréj 
pectoralis;mellkasi 
pectus;mell 
pelvis;medence 
perforans;átfúró 
peri-;körül 
perinealis;gáthoz tartozó 
perineum;gát 
periosteum;csonthártya 
perpendicularis;függőleges 
pes;láb 
phalanx;ujjperc 
piriformis;körte alakú 
planum;lap, sík 
porus;nyílás 
postrerior;hátsó 
processus;nyúlvány 
profundus;mély 
protuberantia;kiemelkedés 
proximalis;a törzshöz közelebb fekvő 
pterygoideus;szárny alakú 
pudendus;szeméremhez tartozó 
radialis;orsócsonti 
radius;orsócsont 
radix;gyökér 
ramus;ág 
rectus;egyenes 
regio;tájék 
rostrum;csőr 
rostralis;a test feji vége felé eső 
sacralis;keresztcsonti 
